id,title,year,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL
596,Pinocchio,1940,9,37,37,0,100,8.5,5,5,0,100,3.3,19102,66,http://content8.flixster.com/movie/10/87/27/10872762_det.jpg
597,Pretty Woman,1990,5.7,55,34,21,61,5.9,9,6,3,66,3.5,200724,68,http://content8.flixster.com/movie/16/90/52/1690526_det.jpg
598,Okno v Parizh,1994,5.4,7,3,4,42,0,1,0,1,0,3.9,42,88,http://content6.flixster.com/movie/11/13/77/11137744_det.jpg
599,The Wild Bunch,1969,8.8,38,37,1,97,8.2,7,6,1,85,4,8004,90,http://content7.flixster.com/movie/26/74/267417_det.jpg
600,Love and a .45,1994,6.2,6,5,1,83,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/89/20/10892046_det.jpg
602,A Great Day in Harlem,1994,7.5,18,16,2,88,7.1,7,6,1,85,3.9,85,82,http://content7.flixster.com/movie/10/93/45/10934505_det.jpg
603,Bye Bye Love,1995,4.2,21,4,17,19,0,3,1,2,33,2.9,1015,49,http://content7.flixster.com/movie/26/11/261109_det.jpg
605,One Fine Day,1996,5.7,29,13,16,44,5.8,6,1,5,16,3.1,7990,63,http://content9.flixster.com/movie/26/59/265991_det.jpg
606,Candyman: Farewell to the Flesh,1995,4.9,10,4,6,40,0,1,0,1,0,2.7,4578,44,http://content9.flixster.com/movie/10/89/43/10894315_det.jpg
608,Fargo,1996,8.4,66,62,4,93,7.6,21,18,3,85,3.9,48610,91,http://content6.flixster.com/movie/31/32/313212_det.jpg
609,Homeward Bound II: Lost in San Francisco,1996,5.7,16,9,7,56,6.4,7,5,2,71,2.9,5368,53,http://content6.flixster.com/movie/25/14/251408_det.jpg
610,Heavy Metal,1981,5.7,25,15,10,60,5.4,5,3,2,60,3.3,6386,69,http://content8.flixster.com/movie/26/90/269098_det.jpg
611,Hellraiser: Bloodline,1996,3.5,10,3,7,30,0,1,0,1,0,2.9,4846,52,http://content9.flixster.com/movie/11/14/29/11142947_det.jpg
612,The Pallbearer,1996,5,18,7,11,38,0,4,2,2,50,2.3,1285,14,http://content8.flixster.com/movie/26/35/263502_det.jpg
613,Jane Eyre,2006,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
614,Loaded,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/88/27/10882795_det.jpg
615,Pane e cioccolata,1973,0,4,4,0,100,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/89/25/10892525_det.jpg
616,The AristoCats,1970,6.1,26,17,9,65,0,4,3,1,75,3.3,23247,71,http://content7.flixster.com/movie/25/07/250797_det.jpg
617,La flor de mi secreto,1995,7,23,19,4,82,6.6,11,8,3,72,3.7,1997,75,http://content6.flixster.com/movie/49/69/26/4969268_det.jpg
618,Two Much,1995,3.6,7,1,6,14,0,3,0,3,0,2.7,947,33,http://content9.flixster.com/movie/26/48/264899_det.jpg
619,Ed,2000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
620,Cerro Torre: Schrei aus Stein,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/91/73/48/9173489_det.jpg
621,Ma saison préférée,1993,7.3,12,11,1,91,0,3,3,0,100,0,0,0,http://content7.flixster.com/movie/29/64/296417_det.jpg
623,A Modern Affair,1995,0,2,0,2,0,0,1,0,1,0,3.2,63,38,http://content8.flixster.com/movie/10/86/39/10863938_det.jpg
624,Condition Red,1995,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
625,Asfour Stah,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/28/87/288711_det.jpg
626,A Thin Line Between Love and Hate,1996,3.5,24,3,21,12,3.2,7,0,7,0,3.5,3360,73,http://content6.flixster.com/movie/97/03/07/9703076_det.jpg
627,The Last Supper,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
628,Primal Fear,1996,6.7,41,30,11,73,7.3,6,4,2,66,3.7,15640,85,http://content8.flixster.com/movie/26/88/268822_det.jpg
629,Rude Boy,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/91/31/10913120_det.jpg
630,Carried Away,1996,6,22,14,8,63,5.4,6,3,3,50,3.3,256,51,http://content9.flixster.com/movie/10/83/80/10838051_det.jpg
631,All Dogs Go to Heaven 2,1996,0,3,0,3,0,0,1,0,1,0,2.8,10564,48,http://content6.flixster.com/movie/10/87/85/10878596_det.jpg
632,Land and Freedom,1995,7.8,10,8,2,80,0,2,2,0,100,4.3,1552,93,http://content7.flixster.com/movie/10/92/30/10923065_det.jpg
633,Denise Calls Up,1995,6.4,22,17,5,77,6.9,9,7,2,77,3.4,47,67,http://content8.flixster.com/movie/10/86/34/10863458_det.jpg
634,Theodore Rex,1995,0,4,0,4,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/87/46/10874623_det.jpg
635,A Family Thing,1996,6.3,22,16,6,72,6.8,6,5,1,83,3.4,546,61,http://content6.flixster.com/movie/26/40/264000_det.jpg
636,Nina Frisk,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/50/90/10509049_det.jpg
637,Sgt. Bilko,1996,4.4,36,12,24,33,5.4,10,6,4,60,2.6,3074,46,http://content8.flixster.com/movie/11/13/42/11134258_det.jpg
638,Jack & Sarah,1995,6,11,9,2,81,0,2,1,1,50,3.6,1366,74,http://content6.flixster.com/movie/10/84/03/10840396_det.jpg
639,Girl 6,1996,4.6,32,11,21,34,4,11,1,10,9,0,0,0,http://content6.flixster.com/movie/23/16/94/2316944_det.jpg
640,Diabolique,1996,3.8,25,3,22,12,4,6,0,6,0,2.7,1450,35,http://content7.flixster.com/movie/27/67/276705_det.jpg
641,Un indien dans la ville,1994,3.2,8,1,7,12,0,4,0,4,0,2.8,552,34,http://content8.flixster.com/movie/10/83/92/10839294_det.jpg
643,Peanuts - Die Bank zahlt alles,1996,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
645,Nelly & Monsieur Arnaud,1995,7.6,21,20,1,95,7.8,10,9,1,90,3.8,381,78,http://content6.flixster.com/movie/44/35/10/4435104_det.jpg
647,Courage Under Fire,1996,7.3,52,44,8,84,7.8,15,14,1,93,3.2,6918,61,http://content8.flixster.com/movie/10/91/78/10917802_det.jpg
648,Mission: Impossible III,2006,6.6,217,152,65,70,6.2,42,26,16,61,3.3,86328,69,http://content6.flixster.com/movie/10/93/36/10933612_det.jpg
649,Cold Fever,1995,7.3,10,9,1,90,0,3,3,0,100,3.9,284,81,http://content7.flixster.com/movie/39/10/58/3910585_det.jpg
650,Moll Flanders,1996,5.5,20,9,11,45,6.3,6,3,3,50,3.5,855,72,http://content7.flixster.com/movie/36/25/75/3625753_det.jpg
651,Das Superweib,1996,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
652,"301, 302",1995,5.9,7,5,2,71,0,1,0,1,0,3.7,163,69,http://content7.flixster.com/movie/10/12/38/10123817_det.jpg
653,DragonHeart,1996,5.7,30,15,15,50,6.4,5,3,2,60,3.2,19438,63,http://content6.flixster.com/movie/10/86/38/10863888_det.jpg
655,Mutters Courage,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/86/25/10862575_det.jpg
656,48 Hrs.,1982,7.4,33,31,2,93,0,4,3,1,75,3.2,10471,61,http://content8.flixster.com/movie/26/94/269494_det.jpg
658,Billy's Holiday,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/99/00/10990029_det.jpg
659,Plein soleil,1960,8.2,21,21,0,100,0,4,4,0,100,4,670,89,http://content7.flixster.com/movie/26/19/261905_det.jpg
660,August Rush,2007,4.8,120,44,76,36,4.4,27,7,20,25,4,105941,84,http://content6.flixster.com/movie/96/76/16/9676160_det.jpg
661,James and the Giant Peach,1996,7,55,51,4,92,7.5,12,11,1,91,3,18876,55,http://content8.flixster.com/movie/25/48/254806_det.jpg
662,Fear,1996,4.8,28,11,17,39,0,4,1,3,25,3.2,11285,66,http://content8.flixster.com/movie/27/03/270322_det.jpg
663,Kids in the Hall: Brain Candy,1996,4.7,33,13,20,39,4.3,9,3,6,33,3.4,2060,72,http://content6.flixster.com/movie/11/14/71/11147180_det.jpg
664,Faithful,1996,3.8,14,1,13,7,5,5,1,4,20,3.1,397,47,http://content9.flixster.com/movie/10/01/10/10011047_det.jpg
665,Underground,1995,7.5,18,15,3,83,0,4,4,0,100,4.4,6157,96,http://content7.flixster.com/movie/10/89/31/10893197_det.jpg
666,Lust och fägring stor,1995,0,1,1,0,100,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/11/13/47/11134717_det.jpg
667,Bloodsport 2,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/23/38/23/2338233_det.jpg
668,Pather Panchali,1955,8.9,33,32,1,96,8.6,6,6,0,100,4.5,1572,95,http://content8.flixster.com/movie/10/08/39/10083902_det.jpg
670,Apur Sansar,1959,9,16,16,0,100,9.2,6,6,0,100,4.4,1009,94,http://content6.flixster.com/movie/10/83/97/10839708_det.jpg
671,Mystery Science Theater 3000: The Movie,1996,6.4,37,27,10,72,6.3,13,9,4,69,3.8,4508,86,http://content7.flixster.com/movie/11/13/40/11134021_det.jpg
673,Space Jam,1996,5.1,44,16,28,36,5.4,14,6,8,42,2.9,27911,52,http://content9.flixster.com/movie/10/91/96/10919615_det.jpg
674,Barbarella,1968,6,35,26,9,74,4.8,5,2,3,40,3,5461,55,http://content9.flixster.com/movie/25/64/256403_det.jpg
678,Some Folks Call It a Sling Blade,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/93/85/10938546_det.jpg
679,The Run of the Country,1995,6,7,3,4,42,0,2,1,1,50,3.3,237,60,http://content8.flixster.com/movie/31/34/313418_det.jpg
680,"Alphaville, une étrange aventure de Lemmy Caution",1965,7.9,25,21,4,84,0,2,1,1,50,3.9,4907,82,http://content8.flixster.com/movie/29/56/295614_det.jpg
681,Coup de torchon,1981,7.2,6,5,1,83,0,1,0,1,0,3.8,497,77,http://content7.flixster.com/movie/10/89/65/10896517_det.jpg
682,Tigrero: A Film That Was Never Made,1994,0,2,2,0,100,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/91/28/10912866_det.jpg
683,L'oeil de Vichy,1993,0,2,2,0,100,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/30/67/306718_det.jpg
685,It's My Party,1996,5.8,14,7,7,50,6.2,6,3,3,50,3.7,843,78,http://content7.flixster.com/movie/27/32/273209_det.jpg
687,Country Life,1994,6.5,6,4,2,66,0,2,2,0,100,3.1,265,44,http://content6.flixster.com/movie/26/40/264012_det.jpg
688,Operation Dumbo Drop,1995,4,24,7,17,29,0,3,2,1,66,2.4,2200,31,http://content9.flixster.com/movie/26/35/263511_det.jpg
690,Das Versprechen,1995,7,6,5,1,83,0,1,1,0,100,3.7,95,74,http://content7.flixster.com/movie/97/48/50/9748505_det.jpg
691,Mrs. Winterbourne,1996,3.8,29,2,27,6,3.3,10,0,10,0,3.1,2892,60,http://content9.flixster.com/movie/25/92/259299_det.jpg
692,Solo,1996,3.2,26,1,25,3,3.8,10,1,9,10,2.3,827,25,http://content9.flixster.com/movie/10/87/64/10876463_det.jpg
693,Etz Hadomim Tafus,1995,0,1,1,0,100,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/69/02/55/6902553_det.jpg
694,The Substitute,1996,4.6,21,8,13,38,4.2,8,2,6,25,2.9,1815,44,http://content7.flixster.com/movie/27/97/279729_det.jpg
695,True Crime,1999,6,38,20,18,52,6.8,6,5,1,83,3.2,2873,51,http://content6.flixster.com/movie/27/47/274704_det.jpg
696,Butterfly Kiss,1995,6.4,13,10,3,76,0,1,1,0,100,3.2,586,55,http://content8.flixster.com/movie/11/13/63/11136386_det.jpg
697,Feeling Minnesota,1996,3.8,19,3,16,15,0,4,1,3,25,2.7,2783,30,http://content9.flixster.com/movie/27/52/275291_det.jpg
698,Delta of Venus,1995,4.4,5,0,5,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/88/75/10887538_det.jpg
700,"Angus, Thongs and Perfect Snogging",2008,6,24,17,7,70,0,2,1,1,50,3.9,6295,76,http://content8.flixster.com/movie/10/85/35/10853566_det.jpg
701,Daens,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/34/78/39/3478397_det.jpg
702,Face/Off,1997,7.9,60,56,4,93,8.4,15,15,0,100,3.5,62348,81,http://content8.flixster.com/movie/10/85/08/10850854_det.jpg
703,Boy A,2007,7.5,57,51,6,89,7.5,23,20,3,86,3.5,5895,84,http://content8.flixster.com/movie/10/85/07/10850786_det.jpg
704,Galaxy Quest,1999,7.2,111,99,12,89,6.9,27,22,5,81,3,19804,67,http://content7.flixster.com/movie/10/91/52/10915261_det.jpg
705,Così fan tutte,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/90/53/10905374_det.jpg
706,Sunset Park,1996,4.6,8,1,7,12,0,3,0,3,0,3.6,636,78,http://content8.flixster.com/movie/27/80/278094_det.jpg
707,Mulholland Falls,1996,5.1,29,9,20,31,5.9,5,2,3,40,2.9,1519,40,http://content6.flixster.com/movie/93/68/00/9368008_det.jpg
708,The Truth About Cats & Dogs,1996,6.7,36,30,6,83,7.6,6,5,1,83,2.9,6120,55,http://content9.flixster.com/movie/10/88/92/10889235_det.jpg
709,Oliver & Company,1988,5.4,33,14,19,42,7.2,5,4,1,80,3.3,9618,65,http://content6.flixster.com/movie/25/15/251504_det.jpg
710,Celtic Pride,1996,3.1,23,2,21,8,4.5,7,2,5,28,2.6,1756,30,http://content8.flixster.com/movie/95/04/97/9504978_det.jpg
711,Flipper,1996,4.8,17,5,12,29,5.4,5,1,4,20,2.6,6086,44,http://content7.flixster.com/movie/25/69/256925_det.jpg
712,La captive,2000,6.7,10,7,3,70,0,1,1,0,100,3,119,47,http://content8.flixster.com/movie/10/84/16/10841618_det.jpg
713,Of Love and Shadows,1994,4.2,5,1,4,20,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/89/11/10891186_det.jpg
714,Dead Man,1995,6.8,33,23,10,69,5.8,6,2,4,33,4,16798,86,http://content7.flixster.com/movie/26/72/267209_det.jpg
715,Le hussard sur le toit,1995,6.6,20,13,7,65,6.4,5,3,2,60,3.7,1134,77,http://content6.flixster.com/movie/10/91/67/10916740_det.jpg
716,The Jezebels,1975,5.4,19,10,9,52,4.4,7,2,5,28,3.5,847,69,http://content7.flixster.com/movie/10/89/70/10897085_det.jpg
717,Boca a boca,1995,5.8,9,3,6,33,0,2,1,1,50,3.3,162,56,http://content9.flixster.com/movie/10/88/66/10886619_det.jpg
718,Les visiteurs,1993,5.4,11,4,7,36,0,3,0,3,0,3.7,3693,74,http://content6.flixster.com/movie/34/10/61/3410616_det.jpg
719,Multiplicity,1996,5.4,43,19,24,44,5.2,14,4,10,28,2.7,4648,43,http://content6.flixster.com/movie/20/48/10/2048108_det.jpg
720,Wallace & Gromit: The Best of Aardman Animation,1996,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
722,The Haunted World of Edward D. Wood Jr.,1995,0,1,1,0,100,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/88/97/10889749_det.jpg
724,The Craft,1996,5.4,29,13,16,44,5.5,6,2,4,33,3.1,23740,67,http://content6.flixster.com/movie/10/85/08/10850868_det.jpg
725,The Great White Hype,1996,5.1,20,9,11,45,6.6,5,3,2,60,2.7,1488,32,http://content6.flixster.com/movie/27/89/278916_det.jpg
726,Save the Last Dance,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/87/40/10874033_det.jpg
727,War Stories,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/11/13/53/11135357_det.jpg
728,Cold Comfort Farm,1995,7.5,31,26,5,83,8.6,5,5,0,100,3.7,1564,79,http://content7.flixster.com/movie/25/59/255913_det.jpg
729,"Institute Benjamenta, or This Dream People Call Human Life",1995,7.5,6,6,0,100,0,1,1,0,100,4.2,375,87,http://content7.flixster.com/movie/29/72/297297_det.jpg
730,The Riches,2007,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
731,Heaven's Prisoners,1996,4.1,19,3,16,15,4.9,5,1,4,20,2.7,457,25,http://content6.flixster.com/movie/10/85/99/10859980_det.jpg
733,The Rock,1996,6.5,47,31,16,65,6,15,9,6,60,3.6,45013,85,http://content6.flixster.com/movie/10/87/70/10877064_det.jpg
734,Getting Away with Murder,1996,3,7,0,7,0,0,3,0,3,0,2.8,747,29,http://content8.flixster.com/movie/10/92/22/10922206_det.jpg
735,Dellamorte Dellamore,1994,6,26,16,10,61,0,2,0,2,0,3.8,3149,78,http://content9.flixster.com/movie/10/87/59/10875991_det.jpg
736,Twister,1996,6,49,28,21,57,6.7,10,7,3,70,3.2,45771,62,http://content8.flixster.com/movie/26/63/266302_det.jpg
737,Barb Wire,1996,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
738,Le garçu,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
741,Kôkaku kidôtai,1995,7.4,31,29,2,93,0,3,3,0,100,3.9,25483,87,http://content7.flixster.com/movie/10/93/13/10931385_det.jpg
742,Thinner,1996,3.8,17,3,14,17,0,3,0,3,0,2.7,3249,40,http://content6.flixster.com/movie/10/87/05/10870524_det.jpg
743,Spy Hard,1996,3.2,30,2,28,6,2.6,8,0,8,0,2.5,4450,37,http://content7.flixster.com/movie/10/37/12/10371241_det.jpg
744,Brothers in Trouble,1995,0,3,3,0,100,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/97/76/10977688_det.jpg
745,Wallace and Gromit in A Close Shave,1995,8.5,19,19,0,100,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/41/62/60/4162608_det.jpg
746,Force of Evil,1948,8.6,12,12,0,100,0,2,2,0,100,3.7,600,74,http://content6.flixster.com/movie/26/25/262520_det.jpg
747,The Stupids,1996,3.1,14,3,11,21,0,2,1,1,50,2.3,2070,35,http://content7.flixster.com/movie/10/84/55/10845557_det.jpg
748,The Arrival,1996,6.3,27,18,9,66,6.1,5,3,2,60,2.9,2211,41,http://content7.flixster.com/movie/11/14/58/11145801_det.jpg
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,9,58,58,0,100,8.6,8,8,0,100,4.2,33662,94,http://content8.flixster.com/movie/26/51/265102_det.jpg
751,Careful,1992,6.4,11,9,2,81,0,4,3,1,75,4,200,79,http://content8.flixster.com/movie/10/70/70/10707046_det.jpg
753,A Month by the Lake,1995,6.2,17,12,5,70,0,4,2,2,50,3.1,914,44,http://content9.flixster.com/movie/25/76/257691_det.jpg
754,Gold Diggers: The Secret of Bear Mountain,1995,6.2,8,4,4,50,0,4,1,3,25,0,0,0,http://content7.flixster.com/movie/28/52/58/2852585_det.jpg
755,Kim,1950,6.6,5,5,0,100,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/85/81/10858125_det.jpg
756,Carmen Miranda: Bananas Is My Business,1995,6,5,4,1,80,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/90/14/10901436_det.jpg
757,Dung che sai duk,1994,6.6,69,54,15,78,6.7,18,14,4,77,3.6,2166,71,http://content8.flixster.com/movie/10/93/19/10931906_det.jpg
759,Maya Lin: A Strong Clear Vision,1994,7.5,6,6,0,100,0,2,2,0,100,3.8,180,72,http://content8.flixster.com/movie/10/86/99/10869926_det.jpg
760,Stalingrad,1993,7.1,7,5,2,71,0,1,1,0,100,4,2247,87,http://content7.flixster.com/movie/29/21/292121_det.jpg
761,Star Wars: Episode I - The Phantom Menace,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/80/46/10804663_det.jpg
762,Striptease,1996,3.4,34,4,30,11,4.4,6,0,6,0,2.4,5832,28,http://content7.flixster.com/movie/11/13/78/11137861_det.jpg
763,The Last of the High Kings,1996,0,1,1,0,100,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/89/13/10891324_det.jpg
764,This Is Spinal Tap,1984,8.6,53,51,2,96,7.7,7,6,1,85,3.9,23608,91,http://content9.flixster.com/movie/28/14/281499_det.jpg
765,Jack,1996,4,29,5,24,17,4.8,5,1,4,20,3,11920,57,http://content9.flixster.com/movie/26/14/261407_det.jpg
766,I Shot Andy Warhol,1996,6.7,25,19,6,76,8.3,6,5,1,83,3.4,1521,68,http://content6.flixster.com/movie/27/78/277800_det.jpg
767,The Grass Harp,1995,5.9,14,7,7,50,6.2,5,2,3,40,3.4,297,56,http://content8.flixster.com/movie/11/15/29/11152922_det.jpg
769,Marlene Dietrich: Shadow and Light,1996,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
771,La môme,2007,5.8,12,6,6,50,0,4,1,3,25,3.8,33,80,http://content9.flixster.com/movie/10/84/43/10844375_det.jpg
774,Wend Kuuni,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/96/91/10969179_det.jpg
775,Histoires extraordinaires,1968,6.6,18,16,2,88,0,1,1,0,100,3.5,736,65,http://content6.flixster.com/movie/10/86/83/10868324_det.jpg
778,Trainspotting,1996,8.2,55,49,6,89,7.7,14,12,2,85,4,88351,92,http://content7.flixster.com/movie/10/93/17/10931725_det.jpg
779,'Til There Was You,1997,3.9,28,2,26,7,3.7,10,0,10,0,2.7,1660,36,http://content6.flixster.com/movie/10/91/72/10917256_det.jpg
780,Independence Day,1996,6.2,54,33,21,61,6.5,17,11,6,64,3.5,94416,75,http://content9.flixster.com/movie/10/94/47/10944707_det.jpg
781,Stealing Beauty,1996,5.9,47,25,22,53,5.9,11,6,5,54,3.5,5036,73,http://content9.flixster.com/movie/10/85/38/10853863_det.jpg
782,The Fan,1996,4.8,25,10,15,40,5.3,5,2,3,40,2.8,5593,37,http://content9.flixster.com/movie/27/82/278295_det.jpg
783,The Hunchback of Notre Dame,1939,8.3,9,9,0,100,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/29/39/293991_det.jpg
784,The Cable Guy,1996,5.4,54,28,26,51,4,14,2,12,14,2.8,27061,50,http://content9.flixster.com/movie/10/87/05/10870531_det.jpg
785,Kingpin,1996,5.8,35,18,17,51,5.7,5,3,2,60,3.1,13950,63,http://content6.flixster.com/movie/26/91/269116_det.jpg
786,Eraser,1996,4.9,44,15,29,34,5.2,11,4,7,36,2.8,10891,43,http://content7.flixster.com/movie/27/12/271217_det.jpg
787,The Gate of Heavenly Peace,1995,0,1,1,0,100,0,0,0,0,0,0,0,0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
788,The Nutty Professor,1996,6,51,34,17,66,6.7,15,13,2,86,2.9,25286,50,http://content8.flixster.com/movie/25/91/259122_det.jpg
789,"Yo, la peor de todas",1990,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
791,"The Last Klezmer: Leopold Kozlowski, His Life and Music",1994,0,2,2,0,100,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/11/13/72/11137256_det.jpg
792,"Hol volt, hol nem volt",1987,0,1,1,0,100,0,0,0,0,0,0,0,0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
793,En compagnie d'Antonin Artaud,1993,6.9,6,5,1,83,0,2,1,1,50,0,0,0,http://content9.flixster.com/movie/11/02/74/11027443_det.jpg
795,Somebody to Love,1994,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
796,A Very Natural Thing,1974,0,1,0,1,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/28/04/280491_det.jpg
798,Daylight,1996,4.7,27,6,21,22,4.9,6,0,6,0,2.8,7912,41,http://content8.flixster.com/movie/26/51/265110_det.jpg
799,The Frighteners,1996,6.3,25,18,7,72,5.1,6,2,4,33,3.3,9928,70,http://content8.flixster.com/movie/10/93/70/10937094_det.jpg
800,Lone Star State of Mind,2002,0,4,0,4,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/89/20/10892061_det.jpg
801,Harriet the Spy,1996,5.1,29,13,16,44,4.8,13,4,9,30,2.6,3584,46,http://content6.flixster.com/movie/10/86/90/10869000_det.jpg
802,Phenomenon,1996,5.9,32,16,16,50,5.5,6,1,5,16,3,9166,62,http://content9.flixster.com/movie/25/58/255899_det.jpg
803,Walking and Talking,1996,7.1,21,18,3,85,0,4,3,1,75,3.6,674,67,http://content9.flixster.com/movie/27/92/279207_det.jpg
804,She's the One,1996,5.8,48,29,19,60,5.9,12,7,5,58,2.9,3031,39,http://content9.flixster.com/movie/27/16/271699_det.jpg
805,A Time to Kill,1996,6.1,50,34,16,68,6.6,12,8,4,66,3.6,17074,83,http://content8.flixster.com/movie/10/86/86/10868614_det.jpg
806,American Buffalo,1996,6.6,25,19,6,76,7.4,6,5,1,83,3,598,46,http://content8.flixster.com/movie/10/87/71/10877182_det.jpg
807,Les rendez-vous de Paris,1995,6.8,17,13,4,76,6.5,6,4,2,66,3.6,158,63,http://content8.flixster.com/movie/11/13/71/11137142_det.jpg
808,"Mystery, Alaska",1999,4.9,78,29,49,37,5.1,26,11,15,42,3.2,4196,66,http://content6.flixster.com/movie/26/75/267504_det.jpg
809,Fled,1996,4.3,29,4,25,13,4.5,11,2,9,18,2.6,1281,26,http://content9.flixster.com/movie/28/22/282227_det.jpg
810,Kazaam,1996,2.5,25,1,24,4,3,10,0,10,0,1.8,3161,19,http://content6.flixster.com/movie/26/47/264728_det.jpg
813,Larger Than Life,1996,4.1,17,2,15,11,4,6,0,6,0,2.6,1363,28,http://content9.flixster.com/movie/18/83/22/1883227_det.jpg
814,A Boy Called Hate,1995,0,1,1,0,100,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/97/39/10973916_det.jpg
815,Power 98,1996,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
818,A Very Brady Sequel,1996,5.6,32,16,16,50,6.5,9,6,3,66,2.3,4591,26,http://content6.flixster.com/movie/10/89/53/10895312_det.jpg
820,La mort en ce jardin,1956,7.8,11,10,1,90,0,2,2,0,100,3.4,201,47,http://content7.flixster.com/movie/10/84/99/10849941_det.jpg
821,The Crude Oasis,1995,0,1,0,1,0,0,1,0,1,0,3.1,38,50,http://content9.flixster.com/movie/10/89/37/10893795_det.jpg
823,La collectionneuse,1967,7.1,9,8,1,88,0,2,1,1,50,3.9,566,83,http://content6.flixster.com/movie/29/83/298328_det.jpg
824,Jeder für sich und Gott gegen alle,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
827,O Convento,1995,3.5,7,2,5,28,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/85/90/10859028_det.jpg
828,The Adventures of Pinocchio,1996,4.8,15,4,11,26,5.4,5,1,4,20,2.6,1746,33,http://content6.flixster.com/movie/10/86/08/10860880_det.jpg
